Machine_ID,Location_Type,Date,Product_ID,Product_Name,Category,Units_Sold,Current_Stock_Level,Stockout_Flag,Day_of_Week,Event_Flag,Lead_Time_Days
M004,Khoo Teck Puat Hospital,2025-02-08,P03,Sprite,Soda,4,4,0,Saturday,0,3
M005,East Coast Park,2025-01-11,P15,Lipton Iced Tea,Tea,2,7,0,Saturday,0,2
M004,Khoo Teck Puat Hospital,2025-01-24,P07,Yeo’s Grass Jelly,Herbal,3,4,0,Friday,0,1
M001,Changi Airport,2025-02-13,P04,Fanta,Soda,6,10,0,Thursday,0,3
M003,Singapore Management University,2025-02-16,P01,Coca-Cola,Soda,9,2,1,Sunday,0,1
M002,Orchard Road,2025-02-08,P15,Lipton Iced Tea,Tea,7,8,1,Saturday,0,1
M005,East Coast Park,2025-01-26,P05,100Plus,Isotonic,2,6,0,Sunday,0,3
M001,Changi Airport,2025-01-14,P15,Lipton Iced Tea,Tea,11,1,0,Tuesday,0,2
M002,Orchard Road,2025-02-23,P15,Lipton Iced Tea,Tea,7,14,0,Sunday,0,1
M005,East Coast Park,2025-02-09,P03,Sprite,Soda,3,1,0,Sunday,0,1
M001,Changi Airport,2025-02-14,P03,Sprite,Soda,9,2,0,Friday,0,2
M002,Orchard Road,2025-02-08,P12,Nestea Iced Tea,Tea,8,11,1,Saturday,0,2
M005,East Coast Park,2025-02-02,P14,Nestle Teh Tarik,Tea,1,2,0,Sunday,0,2
M001,Changi Airport,2025-01-03,P06,Pokka Soursop,Juice,9,9,0,Friday,0,3
M002,Orchard Road,2025-01-09,P09,Fuze Tea,Tea,4,6,0,Thursday,0,2
M005,East Coast Park,2025-02-06,P02,Pepsi,Soda,2,10,0,Thursday,1,3
M003,Singapore Management University,2025-02-28,P11,A&W Root Beer,Soda,6,13,0,Friday,0,2
M002,Orchard Road,2025-01-11,P08,Milo,Malt,8,11,0,Saturday,1,1
M003,Singapore Management University,2025-02-26,P07,Yeo’s Grass Jelly,Herbal,4,10,0,Wednesday,0,3
M004,Khoo Teck Puat Hospital,2025-02-11,P10,Green Tea,Tea,3,14,0,Tuesday,0,1
M001,Changi Airport,2025-02-21,P07,Yeo’s Grass Jelly,Herbal,7,0,0,Friday,1,3
M002,Orchard Road,2025-02-18,P05,100Plus,Isotonic,3,11,0,Tuesday,0,1
M003,Singapore Management University,2025-01-01,P07,Yeo’s Grass Jelly,Herbal,5,5,0,Wednesday,0,3
M003,Singapore Management University,2025-02-25,P04,Fanta,Soda,4,14,0,Tuesday,0,2
M003,Singapore Management University,2025-01-06,P02,Pepsi,Soda,4,12,1,Monday,0,3
M003,Singapore Management University,2025-01-26,P02,Pepsi,Soda,5,2,0,Sunday,0,1
M002,Orchard Road,2025-02-02,P10,Green Tea,Tea,6,8,0,Sunday,0,2
M004,Khoo Teck Puat Hospital,2025-02-04,P09,Fuze Tea,Tea,2,8,0,Tuesday,0,1
M004,Khoo Teck Puat Hospital,2025-02-17,P06,Pokka Soursop,Juice,4,8,0,Monday,0,3
M001,Changi Airport,2025-01-20,P10,Green Tea,Tea,9,3,0,Monday,0,2
M004,Khoo Teck Puat Hospital,2025-02-09,P07,Yeo’s Grass Jelly,Herbal,4,5,0,Sunday,1,1
M001,Changi Airport,2025-01-04,P07,Yeo’s Grass Jelly,Herbal,5,4,0,Saturday,0,3
M001,Changi Airport,2025-01-03,P04,Fanta,Soda,9,5,0,Friday,0,2
M005,East Coast Park,2025-02-07,P14,Nestle Teh Tarik,Tea,6,5,1,Friday,0,1
M001,Changi Airport,2025-01-30,P01,Coca-Cola,Soda,9,11,0,Thursday,0,3
M001,Changi Airport,2025-02-18,P01,Coca-Cola,Soda,8,11,0,Tuesday,0,2
M004,Khoo Teck Puat Hospital,2025-02-04,P12,Nestea Iced Tea,Tea,3,13,1,Tuesday,1,1
M005,East Coast Park,2025-02-21,P06,Pokka Soursop,Juice,3,6,0,Friday,0,2
M002,Orchard Road,2025-01-25,P02,Pepsi,Soda,4,14,0,Saturday,0,1
M001,Changi Airport,2025-02-09,P12,Nestea Iced Tea,Tea,10,10,0,Sunday,0,2
M002,Orchard Road,2025-02-24,P14,Nestle Teh Tarik,Tea,8,11,0,Monday,0,1
M001,Changi Airport,2025-01-20,P10,Green Tea,Tea,5,13,0,Monday,0,3
M004,Khoo Teck Puat Hospital,2025-01-15,P05,100Plus,Isotonic,4,5,0,Wednesday,0,2
M002,Orchard Road,2025-01-22,P09,Fuze Tea,Tea,5,5,0,Wednesday,0,3
M003,Singapore Management University,2025-02-23,P01,Coca-Cola,Soda,7,11,0,Sunday,0,2
M004,Khoo Teck Puat Hospital,2025-02-14,P07,Yeo’s Grass Jelly,Herbal,3,14,0,Friday,0,1
M004,Khoo Teck Puat Hospital,2025-02-19,P09,Fuze Tea,Tea,5,14,0,Wednesday,0,2
M002,Orchard Road,2025-02-06,P06,Pokka Soursop,Juice,5,13,0,Thursday,0,1
M002,Orchard Road,2025-01-01,P09,Fuze Tea,Tea,6,13,0,Wednesday,0,1
M001,Changi Airport,2025-02-22,P03,Sprite,Soda,6,6,0,Saturday,0,1
M003,Singapore Management University,2025-02-24,P01,Coca-Cola,Soda,4,5,0,Monday,0,1
M001,Changi Airport,2025-02-16,P07,Yeo’s Grass Jelly,Herbal,8,13,1,Sunday,0,2
M005,East Coast Park,2025-01-26,P08,Milo,Malt,2,4,0,Sunday,0,1
M002,Orchard Road,2025-02-05,P15,Lipton Iced Tea,Tea,2,14,0,Wednesday,1,1
M005,East Coast Park,2025-02-25,P03,Sprite,Soda,2,10,0,Tuesday,0,3
M001,Changi Airport,2025-02-02,P03,Sprite,Soda,8,2,0,Sunday,0,1
M002,Orchard Road,2025-02-02,P13,Chrysanthemum Tea,Herbal,7,0,0,Sunday,0,2
M002,Orchard Road,2025-01-26,P14,Nestle Teh Tarik,Tea,5,8,0,Sunday,0,2
M003,Singapore Management University,2025-02-14,P03,Sprite,Soda,5,12,0,Friday,0,1
M003,Singapore Management University,2025-01-24,P04,Fanta,Soda,5,2,0,Friday,0,3
M005,East Coast Park,2025-02-01,P01,Coca-Cola,Soda,4,8,0,Saturday,0,1
M001,Changi Airport,2025-01-20,P11,A&W Root Beer,Soda,7,12,1,Monday,0,1
M003,Singapore Management University,2025-02-10,P01,Coca-Cola,Soda,6,14,1,Monday,0,3
M005,East Coast Park,2025-01-16,P06,Pokka Soursop,Juice,2,2,0,Thursday,0,1
M005,East Coast Park,2025-02-05,P08,Milo,Malt,2,4,0,Wednesday,0,3
M005,East Coast Park,2025-02-27,P14,Nestle Teh Tarik,Tea,3,6,0,Thursday,0,3
M001,Changi Airport,2025-01-12,P09,Fuze Tea,Tea,8,5,0,Sunday,0,2
M002,Orchard Road,2025-01-09,P13,Chrysanthemum Tea,Herbal,7,9,0,Thursday,0,2
M005,East Coast Park,2025-01-19,P04,Fanta,Soda,2,6,1,Sunday,0,2
M003,Singapore Management University,2025-01-31,P03,Sprite,Soda,6,11,0,Friday,0,2
M003,Singapore Management University,2025-01-19,P03,Sprite,Soda,5,9,0,Sunday,0,3
M001,Changi Airport,2025-02-10,P14,Nestle Teh Tarik,Tea,7,12,0,Monday,0,1
M001,Changi Airport,2025-01-25,P11,A&W Root Beer,Soda,10,12,1,Saturday,0,1
M005,East Coast Park,2025-01-16,P13,Chrysanthemum Tea,Herbal,2,11,0,Thursday,0,1
M001,Changi Airport,2025-01-18,P04,Fanta,Soda,7,4,0,Saturday,0,3
M003,Singapore Management University,2025-02-26,P01,Coca-Cola,Soda,8,9,1,Wednesday,0,1
M002,Orchard Road,2025-01-08,P01,Coca-Cola,Soda,4,11,0,Wednesday,0,1
M003,Singapore Management University,2025-02-05,P11,A&W Root Beer,Soda,8,14,0,Wednesday,0,1
M005,East Coast Park,2025-01-28,P03,Sprite,Soda,1,7,1,Tuesday,0,1
M001,Changi Airport,2025-02-24,P11,A&W Root Beer,Soda,11,0,0,Monday,1,3
M002,Orchard Road,2025-01-21,P02,Pepsi,Soda,9,0,0,Tuesday,0,3
M005,East Coast Park,2025-01-01,P08,Milo,Malt,2,5,0,Wednesday,0,1
M003,Singapore Management University,2025-02-07,P06,Pokka Soursop,Juice,8,9,0,Friday,0,2
M001,Changi Airport,2025-01-09,P14,Nestle Teh Tarik,Tea,9,12,0,Thursday,0,1
M002,Orchard Road,2025-02-09,P01,Coca-Cola,Soda,0,2,0,Sunday,0,2
M005,East Coast Park,2025-02-13,P07,Yeo’s Grass Jelly,Herbal,2,13,0,Thursday,0,3
M005,East Coast Park,2025-02-16,P06,Pokka Soursop,Juice,4,6,0,Sunday,0,2
M002,Orchard Road,2025-02-19,P05,100Plus,Isotonic,8,13,0,Wednesday,0,2
M001,Changi Airport,2025-02-21,P11,A&W Root Beer,Soda,9,13,0,Friday,0,1
M004,Khoo Teck Puat Hospital,2025-01-29,P09,Fuze Tea,Tea,3,7,0,Wednesday,0,1
M005,East Coast Park,2025-02-03,P05,100Plus,Isotonic,4,10,0,Monday,0,3
M003,Singapore Management University,2025-01-16,P11,A&W Root Beer,Soda,3,7,0,Thursday,0,1
M003,Singapore Management University,2025-01-03,P13,Chrysanthemum Tea,Herbal,4,9,0,Friday,0,2
M002,Orchard Road,2025-01-28,P03,Sprite,Soda,8,5,0,Tuesday,0,1
M002,Orchard Road,2025-01-12,P07,Yeo’s Grass Jelly,Herbal,7,12,0,Sunday,0,3
M003,Singapore Management University,2025-02-26,P02,Pepsi,Soda,2,12,0,Wednesday,0,1
M005,East Coast Park,2025-02-04,P15,Lipton Iced Tea,Tea,2,5,0,Tuesday,0,2
M002,Orchard Road,2025-01-24,P03,Sprite,Soda,4,9,0,Friday,0,3
M003,Singapore Management University,2025-01-03,P02,Pepsi,Soda,4,8,0,Friday,0,3
M001,Changi Airport,2025-02-26,P08,Milo,Malt,4,5,0,Wednesday,0,1
M004,Khoo Teck Puat Hospital,2025-01-13,P12,Nestea Iced Tea,Tea,5,12,0,Monday,0,2
M001,Changi Airport,2025-02-03,P01,Coca-Cola,Soda,9,2,0,Monday,0,2
M003,Singapore Management University,2025-02-03,P10,Green Tea,Tea,2,8,0,Monday,0,2
M004,Khoo Teck Puat Hospital,2025-01-06,P07,Yeo’s Grass Jelly,Herbal,3,10,0,Monday,0,3
M003,Singapore Management University,2025-01-09,P14,Nestle Teh Tarik,Tea,7,14,0,Thursday,0,2
M001,Changi Airport,2025-02-20,P05,100Plus,Isotonic,8,14,0,Thursday,0,1
M005,East Coast Park,2025-02-13,P11,A&W Root Beer,Soda,3,11,0,Thursday,0,2
M003,Singapore Management University,2025-02-06,P02,Pepsi,Soda,4,3,0,Thursday,0,2
M002,Orchard Road,2025-02-19,P06,Pokka Soursop,Juice,9,0,0,Wednesday,0,1
M003,Singapore Management University,2025-01-11,P07,Yeo’s Grass Jelly,Herbal,5,14,1,Saturday,0,2
M005,East Coast Park,2025-01-14,P10,Green Tea,Tea,3,5,0,Tuesday,0,3
M005,East Coast Park,2025-02-10,P07,Yeo’s Grass Jelly,Herbal,2,11,0,Monday,0,1
M003,Singapore Management University,2025-01-19,P07,Yeo’s Grass Jelly,Herbal,2,12,0,Sunday,0,3
M003,Singapore Management University,2025-02-09,P03,Sprite,Soda,6,5,0,Sunday,0,1
M001,Changi Airport,2025-01-25,P04,Fanta,Soda,9,4,1,Saturday,0,3
M003,Singapore Management University,2025-01-06,P08,Milo,Malt,2,2,0,Monday,0,3
M005,East Coast Park,2025-02-16,P04,Fanta,Soda,3,3,1,Sunday,0,1
M003,Singapore Management University,2025-02-06,P08,Milo,Malt,6,0,0,Thursday,0,2
M003,Singapore Management University,2025-01-05,P09,Fuze Tea,Tea,7,14,0,Sunday,0,3
M005,East Coast Park,2025-01-29,P03,Sprite,Soda,2,14,0,Wednesday,0,3
M003,Singapore Management University,2025-01-31,P14,Nestle Teh Tarik,Tea,8,10,0,Friday,0,2
M002,Orchard Road,2025-02-09,P07,Yeo’s Grass Jelly,Herbal,8,10,0,Sunday,0,2
M001,Changi Airport,2025-01-18,P04,Fanta,Soda,8,3,0,Saturday,0,3
M001,Changi Airport,2025-02-11,P01,Coca-Cola,Soda,9,14,0,Tuesday,0,1
M001,Changi Airport,2025-01-14,P11,A&W Root Beer,Soda,6,3,0,Tuesday,1,3
M003,Singapore Management University,2025-02-23,P10,Green Tea,Tea,5,14,0,Sunday,0,1
M004,Khoo Teck Puat Hospital,2025-01-10,P12,Nestea Iced Tea,Tea,5,10,1,Friday,0,3
M003,Singapore Management University,2025-02-03,P04,Fanta,Soda,2,10,0,Monday,1,2
M001,Changi Airport,2025-01-24,P08,Milo,Malt,10,10,0,Friday,0,1
M001,Changi Airport,2025-02-18,P15,Lipton Iced Tea,Tea,6,8,0,Tuesday,0,3
M001,Changi Airport,2025-02-09,P08,Milo,Malt,6,6,0,Sunday,0,2
M005,East Coast Park,2025-02-01,P04,Fanta,Soda,3,12,0,Saturday,0,3
M001,Changi Airport,2025-01-18,P07,Yeo’s Grass Jelly,Herbal,8,5,0,Saturday,0,2
M004,Khoo Teck Puat Hospital,2025-02-20,P04,Fanta,Soda,6,7,1,Thursday,1,2
M003,Singapore Management University,2025-01-10,P07,Yeo’s Grass Jelly,Herbal,8,6,0,Friday,0,1
M001,Changi Airport,2025-01-08,P12,Nestea Iced Tea,Tea,8,6,0,Wednesday,0,3
M001,Changi Airport,2025-01-08,P02,Pepsi,Soda,9,11,0,Wednesday,0,2
